name,party,district_info,chamber,source,official_profile_url,last_updated
Paolo Duterte,,Davao City–1st,house,wikipedia,NA,2026-08-25
Omar Duterte,,Davao City–2nd,house,wikipedia,NA,2026-08-25
Isidro Ungab,,Davao City–3rd,house,wikipedia,NA,2026-08-25
Maricar Zamora,,Davao de Oro–1st,house,wikipedia,NA,2026-08-25
Jhong Ceniza,,Davao de Oro–2nd,house,wikipedia,NA,2026-08-25
De Carlo Uy,,Davao del Norte–1st,house,wikipedia,NA,2026-08-25
Jose Manuel Lagdameo,,Davao del Norte–2nd,house,wikipedia,NA,2026-08-25
John Tracy Cagas,,Davao del Sur at-large,house,wikipedia,NA,2026-08-25
Claude Bautista,,Davao Occidental at-large,house,wikipedia,NA,2026-08-25
Nelson Dayanghirang Jr.,,Davao Oriental–1st,house,wikipedia,NA,2026-08-25
Cheeno Almario,,Davao Oriental–2nd,house,wikipedia,NA,2026-08-25
Kaka Bag-ao,,Dinagat Islands at-large,house,wikipedia,NA,2026-08-25
Sheen Gonzales,,Eastern Samar at-large,house,wikipedia,NA,2026-08-25
Shirlyn Bañas-Nograles,,General Santos at-large,house,wikipedia,NA,2026-08-25
JC Rahman Nava,,Guimaras at-large,house,wikipedia,NA,2026-08-25
Solomon Chungalao,,Ifugao at-large,house,wikipedia,NA,2026-08-25
Celso Regencia,,Iligan at-large,house,wikipedia,NA,2026-08-25
Sandro Marcos,,Ilocos Norte–1st,house,wikipedia,NA,2026-08-25
Angelo Barba,,Ilocos Norte–2nd,house,wikipedia,NA,2026-08-25
Ronald Singson,,Ilocos Sur–1st,house,wikipedia,NA,2026-08-25
Kristine Singson-Meehan,,Ilocos Sur–2nd,house,wikipedia,NA,2026-08-25
Janette Garin,,Iloilo–1st,house,wikipedia,NA,2026-08-25
Kathryn Joyce Gorriceta,,Iloilo–2nd,house,wikipedia,NA,2026-08-25
Lorenz Defensor,,Iloilo–3rd,house,wikipedia,NA,2026-08-25
Ferjenel Biron,,Iloilo–4th,house,wikipedia,NA,2026-08-25
Binky April Tupas,,Iloilo–5th,house,wikipedia,NA,2026-08-25
Julienne Baronda,,Iloilo City at-large,house,wikipedia,NA,2026-08-25
Tonypet Albano,,Isabela–1st,house,wikipedia,NA,2026-08-25
Ed Christopher Go,,Isabela–2nd,house,wikipedia,NA,2026-08-25
Ian Paul Dy,,Isabela–3rd,house,wikipedia,NA,2026-08-25
Joseph Tan,,Isabela–4th,house,wikipedia,NA,2026-08-25
Mike Dy III,,Isabela–5th,house,wikipedia,NA,2026-08-25
Bojie Dy,,Isabela–6th,house,wikipedia,NA,2026-08-25
Caroline Agyao,,Kalinga at-large,house,wikipedia,NA,2026-08-25
Paolo Ortega,,La Union–1st,house,wikipedia,NA,2026-08-25
Dante Garcia,,La Union–2nd,house,wikipedia,NA,2026-08-25
Ann Matibag,,Laguna–1st,house,wikipedia,NA,2026-08-25
Ramil Hernandez,,Laguna–2nd,house,wikipedia,NA,2026-08-25
Amben Amante,,Laguna–3rd,house,wikipedia,NA,2026-08-25
